hour,day,value
0,0,4.0
0,1,1.0
0,2,2.0
0,3,1.0
0,4,1.0
0,5,4.0
0,6,3.0
0,7,3.0
1,0,1.0
1,1,3.0
1,2,1.0
1,3,3.0
1,4,4.0
1,5,3.0
1,6,1.0
1,7,4.0
2,0,1.0
2,1,2.0
2,2,1.0
2,3,3.0
2,4,2.0
2,5,4.0
2,6,0.0
2,7,3.0
3,0,1.0
3,1,0.0
3,2,1.0
3,3,0.0
3,4,0.0
3,5,2.0
3,6,0.0
3,7,2.0
4,0,0.0
4,1,1.0
4,2,0.0
4,3,2.0
4,4,2.0
4,5,0.0
4,6,1.0
4,7,0.0
5,0,0.0
5,1,0.0
5,2,1.0
5,3,0.0
5,4,0.0
5,5,1.0
5,6,0.0
5,7,0.0
6,0,0.0
6,1,1.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,1.0
6,6,1.0
6,7,0.0
7,0,2.0
7,1,1.0
7,2,0.0
7,3,0.0
7,4,2.0
7,5,0.0
7,6,2.0
7,7,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,1.0
8,5,0.0
8,6,0.0
8,7,0.0
9,0,0.0
9,1,2.0
9,2,1.0
9,3,0.0
9,4,0.0
9,5,3.0
9,6,1.0
9,7,0.0
10,0,1.0
10,1,1.0
10,2,2.0
10,3,1.0
10,4,2.0
10,5,4.0
10,6,1.0
10,7,1.0
11,0,1.0
11,1,1.0
11,2,0.0
11,3,2.0
11,4,0.0
11,5,1.0
11,6,1.0
11,7,1.0
12,0,1.0
12,1,0.0
12,2,4.0
12,3,3.0
12,4,3.0
12,5,3.0
12,6,3.0
12,7,1.0
13,0,2.0
13,1,5.0
13,2,2.0
13,3,3.0
13,4,4.0
13,5,2.0
13,6,0.0
13,7,6.0
14,0,2.0
14,1,1.0
14,2,5.0
14,3,3.0
14,4,3.0
14,5,1.0
14,6,2.0
14,7,2.0
15,0,3.0
15,1,0.0
15,2,3.0
15,3,5.0
15,4,0.0
15,5,1.0
15,6,2.0
15,7,4.0
16,0,1.0
16,1,6.0
16,2,3.0
16,3,2.0
16,4,0.0
16,5,3.0
16,6,4.0
16,7,4.0
17,0,5.0
17,1,1.0
17,2,1.0
17,3,4.0
17,4,2.0
17,5,7.0
17,6,2.0
17,7,3.0
18,0,1.0
18,1,4.0
18,2,3.0
18,3,4.0
18,4,2.0
18,5,0.0
18,6,2.0
18,7,1.0
19,0,3.0
19,1,3.0
19,2,2.0
19,3,1.0
19,4,1.0
19,5,4.0
19,6,2.0
19,7,5.0
20,0,3.0
20,1,5.0
20,2,3.0
20,3,3.0
20,4,1.0
20,5,1.0
20,6,3.0
20,7,3.0
21,0,7.0
21,1,0.0
21,2,2.0
21,3,0.0
21,4,1.0
21,5,1.0
21,6,2.0
21,7,3.0
22,0,3.0
22,1,2.0
22,2,4.0
22,3,2.0
22,4,0.0
22,5,2.0
22,6,2.0
22,7,1.0
23,0,1.0
23,1,2.0
23,2,5.0
23,3,3.0
23,4,1.0
23,5,3.0
23,6,0.0
23,7,4.0
